Id,recommendations
105045,"[94277, 100281, 98491, 102285]"
225174,"[106978, 114365, 111597, 95791]"
108160,"[113473, 104022, 102477, 98830, 93781]"
114593,"[126506, 105313, 113335, 103505, 106451]"
110522,"[103840, 111771, 108305, 111726, 107671]"
110594,"[105664, 110193, 111156, 111052, 114053]"
137004,"[103023, 100698, 97428, 105489, 97062]"
118382,"[95599, 109930, 100617, 105473, 94498]"
115110,"[113710, 112322, 113240, 111737]"
208846,"[101020, 99609, 234423, 139635]"
114590,"[93822, 91585, 95213, 106691]"
111737,"[115110, 113710, 112322, 113240]"
106528,"[112204, 111563, 100114, 100746]"
113335,"[100796, 114593, 126506, 94404, 105313]"
234278,"[102220, 113250, 235651, 235018]"
235651,"[102220, 113250, 234278, 235018]"
196089,"[99698, 98028, 99150, 130860, 118856]"
158859,"[105664, 110193, 111156, 111052, 114053]"
108491,"[108488, 110104, 115457, 104521]"
244880,"[99698, 98028, 99150, 130860, 118856]"
111918,"[111442, 234278, 235651, 113250, 115553]"
115457,"[104521, 110104, 108491, 101265, 108488]"
130860,"[99698, 98028, 99150, 118856]"
112783,"[105664, 110193, 111156, 111052, 114053]"
113585,"[126491, 104256, 112811, 97299]"
120043,"[106463, 198235, 236350, 95554, 111737]"
106463,"[198235, 95554, 120043, 102281]"
158085,"[99497, 112706, 107442, 96203, 105849]"
111799,"[126491, 113585, 104256, 112811, 97299]"
133946,"[118177, 111086, 97428, 215647, 105305]"
112083,"[100120, 99064, 106530, 112111, 112278]"
115067,"[103840, 111771, 108305, 111726, 107671]"
109605,"[112164, 110032, 102368, 105029]"
221394,"[105664, 110193, 111156, 111052, 114053]"
112204,"[106528, 111563, 100114, 100746]"
129323,"[103840, 111771, 108305, 111726, 107671]"
111563,"[112204, 106528, 100114, 100746]"
198235,"[106463, 95554, 120043, 102281]"
128489,"[103840, 111771, 108305, 111726, 107671]"
235018,"[102220, 113250, 234278, 235651]"
112811,"[126491, 113585, 104256, 97299]"
219911,"[113585, 98452, 99633, 111799, 104256]"
115553,"[102220, 113250, 234278, 235651, 235018]"
